name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points
Tre Jones,CHI,PG,18,4.6,8.1,0.572,3.2,4.9,1.1,0.3,11.5
Goga Bitadze,ORL,C,70,3,4.8,0.611,6.6,2,0.7,1.4,7.2
Tristan Da Silva,ORL,SF,74,2.7,6.5,0.412,3.3,1.5,0.4,0.2,7.2
GG Jackson II,MEM,PF,29,2.6,6.9,0.372,3.2,1,0.4,0.2,7.2
Vit Krejci,ATL,PG,57,2.5,5.1,0.497,2.7,2.6,0.6,0.5,7.2
Sam Merrill,CLE,SG,71,2.4,6,0.406,2.2,1.5,0.7,0.2,7.2
Daeqwon Plowden,ATL,SG,6,2.7,4.2,0.64,1.8,0.3,0,0,7.2
Nae'Qwan Tomlin,CLE,PF,5,2.6,6.4,0.406,4.2,0.4,0,0.2,7.2
Josh Okogie,2TM,SG,40,2.4,5.3,0.443,2.8,0.8,1.2,0.5,7.1
Josh Okogie,PHO,SG,25,2.2,4.6,0.491,2.9,0.6,0.8,0.4,6
Josh Okogie,CHO,SG,15,2.5,6.5,0.388,2.7,1.3,1.8,0.5,8.9
Jalen Hood-Schifino,2TM,SG,15,2.5,6.5,0.378,1.8,2.5,0.3,0.5,7.1
Jalen Hood-Schifino,LAL,SG,2,0.5,0.5,1,0.5,0.5,0,0.5,2
Jalen Hood-Schifino,PHI,SG,13,2.8,7.5,0.371,2,2.8,0.4,0.5,7.8
Jamison Battle,TOR,SF,59,2.5,5.9,0.429,2.7,0.9,0.3,0.2,7.1
Alex Caruso,OKC,SG,54,2.6,5.8,0.446,2.9,2.5,1.6,0.6,7.1
Jamal Shead,TOR,PG,75,2.7,6.7,0.405,1.5,4.2,0.8,0.1,7.1
Jeff Dowtin Jr.,PHI,PG,41,2.7,5.6,0.487,1.5,1.9,0.6,0.3,7
Marcus Garrett,CHO,SG,4,2.8,6.8,0.407,1.5,3.3,0.8,0.5,7
Isaiah Jackson,IND,C,5,2.8,4.6,0.609,5.6,1,0.6,1.6,7
Jaylen Sims,CHO,SG,6,2,4.7,0.429,1,2,0.5,0.2,7
Orlando Robinson,2TM,C,44,2.6,5.9,0.444,5,1.8,0.4,0.4,6.9
Orlando Robinson,SAC,C,9,0.8,1.9,0.412,1.6,1,0.3,0.1,2.1
Orlando Robinson,TOR,C,35,3.1,7,0.447,5.9,1.9,0.4,0.4,8.1
Jake LaRavia,2TM,PF,66,2.4,5.1,0.475,3.9,2.4,0.9,0.3,6.9
Jake LaRavia,MEM,PF,47,2.5,5.1,0.49,4.4,2.8,0.9,0.4,7.3
Jake LaRavia,SAC,PF,19,2.2,5.1,0.438,2.8,1.3,0.9,0.2,6.1
Ryan Dunn,PHO,SF,74,2.8,6.4,0.43,3.6,0.8,0.6,0.5,6.9
Jay Huff,MEM,C,64,2.5,4.8,0.515,2,0.6,0.3,0.9,6.9
Cameron Payne,NYK,PG,72,2.5,6.2,0.401,1.4,2.8,0.5,0.2,6.9
Antonio Reeves,NOP,SG,44,2.6,5.6,0.456,1.4,0.9,0.5,0.1,6.9
Cody Martin,2TM,SF,53,2.6,6.1,0.418,4.2,2,1.1,0.6,6.8
Cody Martin,CHO,SF,39,3,6.9,0.433,4.5,2.3,1.1,0.7,7.8
Cody Martin,PHO,SF,14,1.4,4.1,0.351,3.4,1.1,0.9,0.4,3.7
Bol Bol,PHO,PF,36,2.7,5.1,0.525,2.9,0.6,0.3,0.7,6.8
Eric Gordon,PHI,SG,39,2.2,5.2,0.426,1.2,1.7,0.7,0.3,6.8
Jaxson Hayes,LAL,C,56,2.9,4,0.722,4.8,1,0.6,0.9,6.8
Marcus Bagley,PHI,SF,10,2.7,6.9,0.391,7,1,0.9,1.2,6.7
DaQuan Jeffries,CHO,SG,47,2.5,6.2,0.405,2.9,1.1,0.6,0.5,6.7
Lester Quiñones,2TM,SG,13,2.4,6,0.397,1.5,1.8,0.2,0.2,6.6
Lester Quiñones,PHI,SG,4,1,2,0.5,1,0.3,0,0,2.3
Lester Quiñones,NOP,SG,9,3,7.8,0.386,1.7,2.6,0.3,0.2,8.6
Vasilije Micić,2TM,PG,41,2.3,6.7,0.348,2.2,3.1,0.4,0,6.6
Vasilije Micić,CHO,PG,36,2.6,7.6,0.348,2.4,3.5,0.4,0,7.5
Vasilije Micić,PHO,PG,5,0,0,0,0.4,0.2,0,0,0
Precious Achiuwa,NYK,C,57,2.9,5.7,0.502,5.6,1,0.8,0.7,6.6
Trayce Jackson-Davis,GSW,C,62,2.8,4.9,0.576,5,1.7,0.4,0.6,6.6
Marcus Sasser,DET,PG,57,2.4,5.2,0.463,1.2,2.3,0.6,0.1,6.6
Vince Williams Jr.,MEM,SG,27,2.5,6.2,0.401,3.6,2,0.4,0.3,6.6
Thomas Bryant,2TM,C,66,2.5,4.9,0.508,3.8,0.8,0.4,0.6,6.5
Thomas Bryant,MIA,C,10,1.2,2.8,0.429,3.2,0.4,0.1,0.9,4.1
Thomas Bryant,IND,C,56,2.7,5.2,0.515,3.9,0.9,0.5,0.6,6.9
Donovan Clingan,POR,C,67,2.7,5,0.539,7.9,1.1,0.5,1.6,6.5
Seth Curry,CHO,SG,68,2.4,5,0.478,1.7,0.9,0.4,0.1,6.5
Haywood Highsmith,MIA,SF,74,2.4,5.3,0.458,3.4,1.5,0.9,0.5,6.5
Talen Horton-Tucker,CHI,SG,58,2.3,5,0.457,1.7,1.4,0.4,0.2,6.5
Trey Lyles,SAC,PF,69,2.3,5.4,0.42,4.6,1.2,0.6,0.3,6.5
Ajay Mitchell,OKC,SG,36,2.5,5.1,0.495,1.9,1.8,0.7,0.1,6.5
Gary Payton II,GSW,SG,62,2.8,4.8,0.574,3,1.3,0.8,0.3,6.5
Zach Collins,2TM,PF,64,2.4,4.7,0.507,4.5,1.7,0.5,0.5,6.4
Zach Collins,SAS,C,36,1.7,3.7,0.462,2.8,1.4,0.4,0.4,4.6
Zach Collins,CHI,PF,28,3.3,6.1,0.541,6.7,2.1,0.5,0.5,8.6
Kris Dunn,LAC,PG,74,2.6,5.9,0.439,3.4,2.8,1.7,0.4,6.4
Ron Holland,DET,SF,81,2.4,5.1,0.474,2.7,1,0.6,0.2,6.4
KJ Martin,2TM,PF,43,2.6,4.7,0.552,2.9,1.1,0.4,0.5,6.4
KJ Martin,PHI,PF,24,2.5,4.1,0.616,3,0.8,0.5,0.7,6.4
KJ Martin,UTA,SF,19,2.6,5.4,0.49,2.8,1.5,0.3,0.3,6.3
Gabe Vincent,LAL,PG,72,2.3,5.8,0.4,1.3,1.4,0.7,0.2,6.4
Sandro Mamukelashvili,SAS,PF,61,2.3,4.6,0.502,3.1,0.8,0.4,0.3,6.3
Jeremiah Robinson-Earl,NOP,PF,66,2.4,5.3,0.455,4.8,1.3,0.6,0.1,6.3
Kenrich Williams,OKC,PF,69,2.5,5.1,0.483,3.5,1.4,0.6,0.1,6.3
Bones Hyland,2TM,PG,24,2,4.9,0.398,1,1.3,0.8,0.2,6.2
Bones Hyland,LAC,PG,20,2.3,5.8,0.391,1.2,1.4,0.9,0.2,7.2
Bones Hyland,MIN,PG,4,0.5,0.8,0.667,0.3,1,0,0,1.3
Jonathan Mogbo,TOR,PF,63,2.5,5.7,0.438,4.9,2.3,0.9,0.5,6.2
Ryan Rollins,MIL,PG,56,2.4,4.8,0.487,1.9,1.9,0.8,0.3,6.2
Dru Smith,MIA,SG,14,2.2,4.4,0.508,2.6,1.6,1.5,0.4,6.2
Isaac Okoro,CLE,SG,55,2.3,4.9,0.464,2.4,1.2,0.6,0.3,6.1
Jarace Walker,IND,PF,75,2.3,4.8,0.472,3.1,1.5,0.7,0.3,6.1
N'Faly Dante,HOU,C,4,2.5,3.3,0.769,5.3,0.5,0.3,1.3,6
Mouhamed Gueye,ATL,PF,33,2.2,5.2,0.421,4.2,0.8,0.8,1,6
Luke Kornet,BOS,C,73,2.6,3.8,0.668,5.3,1.6,0.5,1,6
Isaiah Mobley,PHI,PF,1,2,7,0.286,4,5,1,1,6
Isaiah Stewart,DET,C,72,2.4,4.4,0.559,5.5,1.7,0.4,1.4,6
James Wiseman,IND,C,1,2,4,0.5,1,0,0,0,6
Isaiah Wong,CHO,SG,20,2.1,5.3,0.39,1.6,1.4,0.6,0,6
Cole Swider,2TM,SF,10,2.2,6.3,0.349,2.7,0.3,0.4,0.2,5.9
Cole Swider,DET,SF,2,0,2.5,0,1,0.5,0,0,0
Cole Swider,TOR,SF,8,2.8,7.3,0.379,3.1,0.3,0.5,0.3,7.4
Chuma Okeke,2TM,PF,9,2.2,4.4,0.5,5.2,1.7,0.6,0.4,5.9
Chuma Okeke,PHI,PF,7,2.6,4.7,0.545,6.1,1.9,0.7,0.4,6.9
Chuma Okeke,CLE,PF,2,1,3.5,0.286,2,1,0,0.5,2.5
Kyle Anderson,2TM,PF,61,2.3,5,0.469,3.4,2.4,0.7,0.5,5.9
Kyle Anderson,GSW,PF,36,2.1,4.7,0.45,3.1,2.3,0.7,0.6,5.3
Kyle Anderson,MIA,SF,25,2.6,5.4,0.493,3.8,2.6,0.6,0.5,6.7
Simone Fontecchio,DET,SF,75,2,5,0.402,2.9,0.9,0.4,0.2,5.9
Collin Gillespie,PHO,PG,33,2.1,4.8,0.43,2.4,2.4,0.6,0.2,5.9
Tidjane Salaün,CHO,PF,60,1.9,5.8,0.33,4.7,1.2,0.5,0.2,5.9
Jaylin Williams,OKC,PF,47,2.1,4.7,0.439,5.6,2.6,0.5,0.6,5.9
Moses Brown,2TM,C,13,2.6,3.8,0.694,3.4,0.2,0.5,0.3,5.8
Moses Brown,IND,C,9,1.4,2.2,0.65,1.4,0,0.2,0.1,3.2
Moses Brown,DAL,C,4,5.3,7.3,0.724,7.8,0.5,1,0.8,11.8
Adem Bona,PHI,C,58,2.3,3.3,0.703,4.2,0.5,0.4,1.2,5.8
Quenton Jackson,IND,PG,28,2.1,4.4,0.475,1.6,1.9,0.8,0.2,5.8
Robert Williams,POR,C,20,2.5,3.9,0.641,5.9,1.1,0.7,1.7,5.8
Moussa Diabaté,CHO,C,71,2.4,3.9,0.596,6.2,0.8,0.6,0.6,5.7
Dariq Whitehead,BRK,SF,20,2,4.8,0.406,1.5,0.6,0.3,0.1,5.7
Landry Shamet,NYK,SG,50,2.1,4.6,0.461,1.2,0.5,0.5,0,5.7
Jordan Goodwin,LAL,PG,29,2.2,5,0.438,3.9,1.4,1,0.4,5.6
Shake Milton,2TM,SG,57,2,4.5,0.453,1.8,1.8,0.4,0.1,5.5
Shake Milton,BRK,SG,27,2.7,5.8,0.465,1.9,2.4,0.6,0,7.4
Shake Milton,LAL,SG,30,1.4,3.2,0.433,1.8,1.3,0.3,0.1,3.9
Aaron Holiday,HOU,PG,62,1.9,4.3,0.437,1.3,1.3,0.3,0.2,5.5
Jeff Green,HOU,PF,32,1.9,3.8,0.504,1.8,0.6,0.2,0.1,5.4
Jonathan Isaac,ORL,PF,71,1.9,4.6,0.414,4.4,0.6,0.9,1.1,5.4
Dean Wade,CLE,PF,59,1.9,4.6,0.413,4.2,1.3,0.7,0.3,5.4
Keaton Wallace,ATL,PG,31,2.1,5.2,0.401,1.6,2.6,0.9,0.3,5.4
Kobe Bufkin,ATL,SG,10,1.8,4.7,0.383,2.1,1.7,0.3,0.2,5.3
Jamal Cain,NOP,SF,37,1.8,4.3,0.43,2.3,0.6,0.6,0.2,5.3
Pat Connaughton,MIL,SG,41,2,4.3,0.469,2.7,1.7,0.2,0.3,5.3
Kevin Love,MIA,PF,23,1.8,5,0.357,4.1,1,0.7,0.2,5.3
Ben Sheppard,IND,SG,63,1.9,4.6,0.418,2.8,1.3,0.6,0.2,5.3
Monte Morris,PHO,PG,45,1.8,4.3,0.426,1.5,1.6,0.4,0.1,5.2
Jabari Walker,POR,SF,60,2,3.8,0.515,3.5,0.6,0.6,0.1,5.2
Javonte Green,2TM,SG,68,1.8,4.2,0.429,3.2,0.8,1,0.5,5.1
Javonte Green,NOP,SG,50,2,4.5,0.446,3.6,0.9,1.1,0.6,5.8
Javonte Green,CLE,SG,18,1.3,3.5,0.365,2.2,0.6,0.6,0.1,3.3
Alex Reese,2TM,PF,15,1.7,3.6,0.481,3.1,0.3,0.7,0.7,5.1
Alex Reese,OKC,PF,1,1,1,1,1,0,0,0,2
Alex Reese,PHI,PF,14,1.8,3.8,0.472,3.3,0.3,0.7,0.7,5.3
Bismack Biyombo,SAS,C,28,2.4,4.1,0.588,5.6,1.1,0.6,0.8,5.1
Mitchell Robinson,NYK,C,17,2.2,3.3,0.661,5.9,0.8,0.9,1.1,5.1
Kai Jones,2TM,C,40,2.2,2.7,0.798,3.1,0.6,0.4,0.6,5
Kai Jones,LAC,C,28,0.9,1.3,0.722,1.6,0.4,0.2,0.5,2.2
Kai Jones,DAL,C,12,5.1,6.1,0.836,6.6,1.3,0.8,0.8,11.4
Ben Simmons,2TM,PG,51,2.3,4.4,0.52,4.7,5.6,0.7,0.5,5
Ben Simmons,BRK,PG,33,2.8,5.2,0.547,5.2,6.9,0.8,0.5,6.2
