id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
573,Emoni Bates,CLE,SF,10.0,1.3,3.8,0.342,0.7,0.8,0.1,0.1,3.7,0.2,9.8
574,DeAndre Jordan,DEN,C,56.0,1.6,2.5,0.65,5.1,0.9,0.3,0.5,3.7,0.7,15.4
575,Craig Porter Jr.,CLE,PG,51.0,1.4,2.7,0.514,1.3,1.4,0.3,0.3,3.7,0.7,13.1
576,Jackson Rowe,GSW,PF,6.0,1.3,2.8,0.471,1.8,0.7,0.7,0.0,3.7,0.2,15.9
577,Blake Wesley,SAS,SG,58.0,1.4,3.2,0.435,1.1,2.0,0.6,0.1,3.7,0.9,9.9
578,JT Thor,multi_team,PF,20.0,1.3,3.0,0.424,2.4,0.3,0.4,0.5,3.6,0.5,10.0
579,JT Thor,CLE,PF,9.0,1.0,1.7,0.6,0.7,0.1,0.2,0.3,3.1,0.7,10.0
580,JT Thor,WAS,PF,11.0,1.5,4.0,0.364,3.8,0.5,0.5,0.5,3.9,0.3,10.0
581,Baylor Scheierman,BOS,SG,31.0,1.3,3.5,0.355,2.1,1.1,0.5,0.1,3.6,0.4,10.3
582,Jae'Sean Tate,HOU,SF,52.0,1.3,2.8,0.473,2.3,0.9,0.5,0.1,3.6,0.4,12.3
583,Jaylon Tyson,CLE,SG,47.0,1.4,3.2,0.43,2.0,0.9,0.3,0.1,3.6,0.6,11.1
584,Elfrid Payton,multi_team,PG,24.0,1.7,5.1,0.328,3.3,6.9,1.0,0.5,3.5,2.5,8.5
